0.0,	0.09615683936243791,	31.249655612386572
1.0,	1.012377826827485,	32.16191473586469
2.1999999999999997,	0.512111484248388,	32.84580870887666
3.2000000000000006,	1.805002291084541,	32.83527458152511
4.200000000000001,	2.930099333786466,	33.03432540391362
5.200000000000002,	3.6375153804723688,	34.11656389109276
6.200000000000003,	4.759005594535196,	33.59716413260028
7.200000000000004,	5.966196104984688,	33.33219718967826
8.200000000000003,	5.939388830097953,	32.29167129791356
9.399999999999999,	6.836822801041757,	33.168256707166016
10.599999999999994,	7.9877508325064515,	34.089689982248885
11.79999999999999,	9.55635985998717,	34.12793559254112
12.999999999999986,	9.263477412455742,	33.00020876900332
14.199999999999982,	8.404855791660797,	32.738797636095654
15.399999999999977,	8.06741768717117,	33.949473177356666
16.599999999999973,	8.915041847442218,	35.15579315852497
17.79999999999997,	10.354515179612882,	34.2895850276641
18.999999999999964,	11.562219915035666,	33.28786336979801
20.19999999999996,	10.859054697310304,	32.49846083106837
21.399999999999956,	9.950893215895386,	31.306404651119095
22.59999999999995,	11.435144172973345,	31.513175802139124
23.799999999999947,	11.708287309877917,	30.226721841493088
24.999999999999943,	12.533522657695316,	30.896552181720946
26.19999999999994,	11.825656860176267,	31.44836091743227
27.399999999999935,	12.18455870681321,	30.018373477444875
28.59999999999993,	10.979490065476593,	29.12755094621427
29.799999999999926,	12.29460503243642,	29.120948690676084
30.999999999999922,	13.524019703009586,	28.859913619567433
32.19999999999992,	15.006928434103642,	28.643726414289187
33.19999999999993,	14.91328744559745,	29.6421018444758
34.199999999999946,	15.956291020551808,	30.30517043217482
35.19999999999996,	16.228894291372786,	31.569039516763173
36.199999999999974,	16.661786942027746,	31.128512059725878
37.19999999999999,	17.09107276404361,	29.969534021807597
38.2,	17.866460782082957,	29.13034512360221
39.20000000000002,	19.07365129253245,	28.865378180680185
40.20000000000003,	19.24253521491149,	27.641043818619472
41.200000000000045,	18.010033530478484,	27.73300036939501
42.20000000000006,	16.92434311423117,	28.61689873463206
43.200000000000074,	15.789658448273475,	27.99708560547057
44.20000000000009,	14.752847961106237,	27.905233685950087
45.2000000000001,	13.422472097882768,	27.46922902708462
46.20000000000012,	12.092096234659298,	27.03322436821915
47.20000000000013,	11.250976944757834,	26.757563978402647
48.200000000000145,	10.067412349720051,	27.11350113399869
49.20000000000016,	9.71549247282545,	25.758454123653113
50.20000000000017,	10.922682983274942,	25.493487180731087
51.20000000000019,	11.958472900951111,	24.719654606668133
52.2000000000002,	11.784911518193836,	24.126917790019967
53.200000000000216,	10.748101031026597,	24.035065870499484
54.20000000000023,	10.460891856503043,	22.92918365459236
55.200000000000244,	9.977991484713716,	22.00710990898126
56.20000000000026,	9.234689213287567,	21.019679839227727
57.20000000000027,	9.143171236029787,	19.729989153024583
58.20000000000029,	8.155297838257779,	19.902117838324603
59.2000000000003,	7.22030608497121,	20.359505182602593
60.200000000000315,	7.38919000735025,	19.13517082054188
61.20000000000033,	8.428586753665511,	19.079788827359913
62.200000000000344,	7.9001329892943915,	20.259794854955743
63.20000000000036,	7.397201813927515,	20.98817013130868
64.20000000000037,	7.402786073017793,	22.224084863566194
65.20000000000039,	7.141351320377372,	23.432045243492865
66.2000000000004,	8.09865459894507,	23.84068101562142
67.20000000000041,	8.267538521324111,	22.616346653560708
68.20000000000043,	9.389028735386942,	22.096946895068218
69.20000000000044,	10.510518949449773,	21.577547136575728
70.20000000000046,	10.56314876131105,	22.364084367306315
71.20000000000047,	9.163934928393092,	22.317173283636972
72.20000000000049,	8.00621751820159,	22.74984730354136
73.2000000000005,	6.848500108010088,	23.18252132344575
74.20000000000051,	5.449286275092129,	23.13561023977641
75.20000000000053,	5.067103311088481,	24.103778067916213
76.20000000000054,	6.188593525151309,	23.584378309423723
77.20000000000056,	5.836673648256707,	22.229331299078147
78.20000000000057,	6.958163862319536,	21.709931540585657
79.20000000000059,	8.165354372769027,	21.44496459766363
80.2000000000006,	9.543945475991844,	21.688863285882533
81.20000000000061,	10.836836282828,	21.67832915853097
82.20000000000063,	11.872626200504168,	20.904496584468017
83.20000000000064,	13.079816710953661,	20.63952964154599
84.20000000000066,	13.95502652177379,	21.51218317898507
85.20000000000067,	14.644714243426476,	20.41856146520922
86.20000000000068,	15.249298213876813,	20.54481006943647
87.2000000000007,	14.720844449505693,	21.7248160970323
88.20000000000071,	14.6272034609995,	22.723191527218912
89.20000000000073,	14.412814261130078,	23.48177440561866
90.20000000000074,	14.151379508489656,	24.68973478554533
91.20000000000076,	14.691001791041327,	25.981558222464525
92.20000000000077,	14.429567038400904,	27.189518602391196
93.20000000000078,	13.513346050935858,	28.10177772586932
94.2000000000008,	14.302855565369326,	28.719998447737932
95.20000000000081,	15.427952608071251,	28.91904927012643
96.20000000000083,	15.967574890622922,	30.210872707045624
97.20000000000084,	15.9731591497132,	31.446787439303137
98.20000000000086,	15.44470538534208,	32.62679346689896
99.20000000000087,	15.14506818848915,	32.08672121464289
100.20000000000088,	16.178421519734034,	32.2115957685947
101.2000000000009,	17.416873457899502,	31.840227483607
102.20000000000091,	18.603606139212765,	32.18545487600768
103.20000000000093,	19.995437427446614,	32.034439429468875
104.20000000000094,	21.0805100155437,	31.442718306032305
105.20000000000095,	20.90056934396776,	30.21996004534725
106.20000000000097,	20.988920408881114,	28.98719465862948
107.20000000000098,	20.267612125470507,	28.236776693957253
108.200000000001,	20.006177372830088,	29.444737073883925
109.20000000000101,	19.089956385365042,	30.356996197362047
110.20000000000103,	19.79737243205095,	31.439234684541184
111.20000000000104,	20.747462053340456,	30.410969294907765
